Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Virtualisierung Grundlagen|Was versteht man technisch unter "Virtualisierung" und welche zentrale Funktion übernimmt der dabei eingesetzte "Abstraktions-Layer"?|Entkopplung|Physisch zu Logisch|Virtualisierung ist die <b>Nachbildung eines Hard- oder Software-Objekts</b> durch ein ähnliches Objekt desselben Typs.<br>- Der <b>Abstraktions-Layer</b> (oft Hypervisor) wandelt dabei physische Ressourcen (CPU, RAM) in <b>logische Einheiten</b> um.<br>- Dies ermöglicht den Betrieb mehrerer isolierter Instanzen auf einer Hardware.|Ohne diesen Layer wäre ein Betriebssystem fest an die Hardware "gekettet". Die Virtualisierung sprengt diese Kette und macht die VM zu einer portablen Datei. Das Gegenteil ist "Bare Metal".|Ein physischer Server mit 64 Kernen wird durch den Layer in 10 virtuelle Server mit je 6 Kernen aufgeteilt.|Virtual = Scheinbar (aber nutzbar)|Nachbildung von Objekten; Umwandlung physischer in logische Ressourcen.|Die physische Verschmelzung von zwei Festplatten zu einer.|Die reine Emulation alter Spielkonsolen auf dem PC.|Die Erhöhung der Taktfrequenz der CPU durch Software.|Virtualisierung Definition Abstraktion Layer
Bachelor Professional IT|Ziele der Virtualisierung|Welche drei primären betriebswirtschaftlichen und technischen Ziele werden durch den Einsatz von Virtualisierung (laut Definition) verfolgt?|Green IT & Kosten|Effizienz-Dreieck|Die Hauptziele sind:<br>1. <b>Bessere Hardwareauslastung</b> durch Konsolidierung (Vermeidung von Leerlauf).<br>2. <b>Erhöhung der Ausfallsicherheit</b> (schnelles Verschieben von VMs bei Defekten).<br>3. <b>Senkung von Kosten</b> und Stromverbrauch (weniger physische Geräte nötig).|Früher lief ein Server oft bei 5-10% Last ("Idle"). Durch Virtualisierung nähert man sich 70-80%, was den ROI (Return on Invest) massiv verbessert.|Statt 10 Servern mit je 10% Last betreibt man 2 Server mit je 50% Last und spart 8-mal Hardware und Strom.|Konsolidierung = Zusammenfassung|Höhere Auslastung (Konsolidierung), Ausfallsicherheit und Kostensenkung.|Erhöhung der Hardware-Preise, mehr Personalbedarf, langsamere Systeme.|Abschaffung aller physischen Server, Nutzung von reinem WLAN.|Nur die Nutzung für Software-Tests.|Virtualisierung Vorteile Konsolidierung Kosten
Bachelor Professional IT|Infrastruktur-Planung|Sie sollen für eine Bank eine hochperformante Server-Farm planen, auf der 200 virtuelle Server laufen sollen. Welches Produkt/Technologie wählen Sie zwingend aus?|Produktkenntnis|Enterprise-Lösung|Zwingend einen <b>Typ-1 Hypervisor</b> (z. B. VMware ESXi, Microsoft Hyper-V Server, Citrix XenServer).<br>Gründe:<br>- Direkter Hardwarezugriff für maximale I/O-Leistung.<br>- Stabilität (kein Host-OS, das abstürzen oder Updates laden muss).<br>- Zertifizierung für Enterprise-Workloads.|In der Prüfung müssen Sie oft Produkte den Kategorien zuordnen. ESXi ist der Industriestandard für Typ-1. VirtualBox ist ein klassisches Typ-2 Tool für den Desktop.|Keine Bank betreibt ihr Core-Banking auf einem Windows-PC mit VirtualBox.|Typ-1 = Bank, Typ-2 = Bastler|VMware vSphere ESXi oder Microsoft Hyper-V Server (Typ-1).|Oracle VirtualBox (Typ-2).|Parallels Desktop (Typ-2).|VMware Workstation Player (Typ-2).|Szenario Auswahl Hypervisor ESXi Hyper-V
Bachelor Professional IT|Hypervisor-Konzepte|Was ist das entscheidende Merkmal der <b>Paravirtualisierung</b> im Gegensatz zur vollständigen Hardware-Virtualisierung in Bezug auf das Gast-Betriebssystem?|Kooperation statt Emulation|Anpassung nötig|Bei der <b>Paravirtualisierung</b> muss das Gast-Betriebssystem <b>modifiziert</b> (angepasst) werden.<br>- Grund: Das Gast-OS "weiß", dass es virtualisiert ist, und kommuniziert über spezielle Schnittstellen (Hypercalls) direkt mit dem Hypervisor, statt Hardware treiberseitig zu emulieren.<br>- Vorteil: Höhere Performance durch geringeren Overhead.|Im Gegensatz dazu gaukelt die Vollvirtualisierung dem Gast eine komplette Hardware vor (Gast ist unmodifiziert). Moderne CPUs unterstützen dies heute hardwareseitig (VT-x/AMD-V), sodass Paravirtualisierung seltener manuell nötig ist.|Xen nutzte früher Paravirtualisierung für Linux-Gäste, um schneller zu sein als die reine Emulation.|Para = Daneben/Angepasst|Das Gast-Betriebssystem muss modifiziert (angepasst) werden.|Das Gast-System läuft komplett isoliert ohne Wissen über die Virtualisierung.|Das Gast-System muss ein Windows-System sein.|Der Hypervisor wird im Gast-System installiert.|Virtualisierung Paravirtualisierung Hypervisor Gast-OS
Bachelor Professional IT|Betriebssystem-Virtualisierung|Wie erzeugt die <b>Betriebssystem-Virtualisierung</b> (z. B. Solaris Container, FreeBSD Jails) ihre Instanzen und worin liegt der architektonische Unterschied zur Hypervisor-Lösung?|Kernel-Sharing|Container-Prinzip|Bei der <b>OS-Virtualisierung</b> erzeugt der <b>Kernel</b> des Host-Systems mehrere isolierte Umgebungen (User-Spaces).<br>- Unterschied: Alle Instanzen teilen sich den <b>gleichen Kernel</b> (Shared Kernel). Es gibt keinen Hypervisor und keine virtuellen Hardware-Treiber für jede Instanz.<br>- Vorteil: Extrem geringer Ressourcenverbrauch (Overhead).|Dies ist der Vorläufer und das Prinzip von Docker. Während eine VM (Hypervisor) Minuten zum Booten braucht (eigener Kernel startet), startet ein Container (OS-Virt) in Millisekunden (Prozess im laufenden Kernel startet).|FreeBSD Jails oder Docker-Container auf Linux.|OS-Virt = 1 Kernel, viele User|Der Host-Kernel erzeugt isolierte User-Space-Umgebungen (Shared Kernel).|Sie nutzt für jede Instanz einen eigenen Kernel auf eigener virtueller Hardware.|Sie partitioniert die Festplatte physisch in zwei Hälften.|Sie emuliert für jeden Container eine eigene CPU.|Virtualisierung Container OS-Virtualisierung Kernel
Bachelor Professional IT|Server-Virtualisierung Ebenen|Ein Kunde fordert für sein Hochsicherheits-Rechenzentrum eine strikte Trennung der Systeme. Es darf keine gemeinsame Software-Schicht (Hypervisor) geben, aber die Hardware (Baugruppen) soll in einem einzigen Schrank (Rack/Chassis) verbaut sein. Welche Ebene der Abstraktion ist hier gefordert?|Hard-Isolation|Kein Shared Code|<b>Physische Partitionierung</b>.<br>Hierbei werden die zugrunde liegenden <b>realen Baugruppen</b> (CPUs, RAM-Bänke, I/O-Karten) elektrisch/physisch in separate Partitionen getrennt.<br>- Es gibt keinen gemeinsamen Hypervisor, der als Single Point of Failure oder Angriffsfläche dienen könnte.|Dies ist die stärkste Form der Isolation innerhalb eines Systems, oft bei Mainframes (IBM Z) oder großen UNIX-Servern zu finden. Jede Partition hat ihre eigene "echte" Hardware.|LPARs (Logical Partitions) bei IBM Mainframes, die hardwareseitig getrennt sind.|Physisch = Hart getrennt|Physische Partitionierung (Hardware-Trennung).|Hypervisor-basierende Virtualisierung.|Betriebssystem-Virtualisierung (Container).|Virtualisierung im Trägerbetriebssystem.|Virtualisierung Partitionierung Hardware Sicherheit
Bachelor Professional IT|Speicher-Virtualisierung|Was ist das technische Kernziel der <b>Speicher-Virtualisierung</b> und welchen direkten administrativen Vorteil bietet sie laut Definition?|Entkopplung|Logik vs. Physik|<b>Speicher-Virtualisierung</b> ist die Technik zur <b>Abstraktion physischer Speichereigenschaften</b>.<br>- Ziel: Verwaltung von Speicher <b>unabhängig von physischen Grenzen</b> (z. B. Festplattengröße).<br>- Vorteil: Der Nutzer sieht einen virtuellen Pool, was den <b>Auslastungsgrad</b> erhöht und Erweiterungen vereinfacht.|Ohne Virtualisierung ist eine 1TB-Festplatte voll, wenn 1TB Daten drauf sind. Mit Virtualisierung können Sie einem Server 5TB "vorgaukeln" (Thin Provisioning) und physischen Speicher erst nachkaufen, wenn er wirklich gebraucht wird.|Ein Server "sieht" ein 10TB Laufwerk, das physisch aber auf drei verschiedenen Storage-Boxen verteilt liegt.|Virtuell = Schein (aber nutzbar)|Abstraktion physischer Grenzen; höhere Auslastung und einfachere Erweiterung.|Die Komprimierung von Daten, um Festplattenplatz zu sparen.|Die Umwandlung von Arbeitsspeicher (RAM) in Festplattenspeicher.|Die physische Verschmelzung von Kabeln zur Reduzierung von Kabelsalat.|Storage Virtualisierung Definition Pool Management
Bachelor Professional IT|Virtualisierungs-Ansätze (Storage)|Wie unterscheiden sich <b>In-Band</b> und <b>Out-Band</b> Virtualisierung hinsichtlich der Führung von Daten- und Kontrollfluss?|Architektur-Pfad|Bottleneck-Frage|Der Unterschied liegt im Pfad:<br>1. <b>In-Band</b>: Daten- und Kontrollfluss laufen über den <b>selben Pfad</b>. Das System sitzt "mitten im Datenstrom" und leitet jeden IO weiter (Gefahr: Latenz/Flaschenhals).<br>2. <b>Out-Band</b>: Daten- und Kontrollfluss sind <b>getrennt</b>. Die Virtualisierung (Metadaten) erfolgt oft in Switches, die eigentlichen Nutzdaten fließen direkt zum Speicher.|In-Band ist oft einfacher zu implementieren (Appliance dazwischenschalten), aber schwerer zu skalieren. Out-Band ist performanter, da der "Verwalter" den Datenstrom nicht bremst, aber komplexer zu konfigurieren (Agenten nötig).|In-Band: Pförtner, der jedes Paket kontrolliert. Out-Band: Pförtner gibt nur den Wegweiser, Paket geht direkt durch.|In = Mitten drin, Out = Draußen|In-Band = Gleicher Pfad (alles durch das System); Out-Band = Getrennte Pfade (Split-Path).|In-Band nutzt WLAN, Out-Band nutzt Kabel.|Bei Out-Band laufen Daten und Kontrolle über denselben Pfad.|In-Band ist nur für Backups, Out-Band für Live-Daten.|Storage In-Band Out-Band Architektur Performance
Bachelor Professional IT|Storage-Management Szenario|Ein Unternehmen besitzt Storage-Systeme von drei verschiedenen Herstellern (EMC, NetApp, HP). Der Admin möchte diese isolierten Inseln zu einem einzigen, großen Speicherpool zusammenfassen, um Kapazitäten flexibel zwischen den Abteilungen zu verschieben. Welches Konzept ermöglicht dies?|Pooling|Silo-Auflösung|Die <b>Speicher-Virtualisierung</b>.<br>Sie schiebt sich als Abstraktionsschicht vor die physischen Geräte verschiedener Hersteller und präsentiert sie nach oben als einen homogenen <b>virtuellen Speicherpool</b>.|Dies verhindert "Storage-Silos" (wo System A voll ist und System B leer, aber man den Platz nicht nutzen kann). Die Software übernimmt die Zuweisung auf die physischen Medien im Hintergrund.|IBM SVC (SAN Volume Controller) ist ein klassisches Beispiel, das verschiedene Storage-Boxen "virtualisiert".|Virtualisierung = Ein Pool für alle|Speicher-Virtualisierung (Abstraktion der Hardware).|RAID 5 (Striping mit Parität).|Deduplizierung (Datenreduktion).|Physische Partitionierung (Hardware-Trennung).|Szenario Storage Pool Heterogen Virtualisierung
Bachelor Professional IT|Speicher-Virtualisierung|Was ist die primäre Funktion einer <b>Virtualisierungs-Appliance</b> im Storage-Umfeld und was ermöglicht sie dem Administrator?|Management-Ebene|Zentralisierung|Eine <b>Virtualisierungs-Appliance</b> (Hardware oder Software) ermöglicht die <b>zentrale Verwaltung aller Speicherbereiche</b>.<br>- Sie schaltet sich vor die physischen Speichergeräte.<br>- Funktion: Sie fasst verteilte Ressourcen zu einem Pool zusammen, den der Admin zentral steuern kann, ohne jede einzelne Festplatte anfassen zu müssen.|Ohne Appliance müssten Sie 10 verschiedene Storage-Boxen einzeln konfigurieren (Silos). Mit Appliance haben Sie *ein* Dashboard für Petabytes an Daten.|SVC (SAN Volume Controller) von IBM ist eine typische Appliance.|Appliance = Zentraler Manager|Zentrale Verwaltung aller Speicherbereiche (Pooling) als logische Einheit.|Sie dient nur als Virenscanner für Festplatten.|Sie ist ein passives Kabel zur Verbindung von Servern.|Sie ersetzt die Festplatten durch RAM-Bausteine.|Storage Virtualisierung Appliance Definition Management
